date,coin_symbol,coin_name,coin_rank,market_cap,total_volume,rolling_vol_30d,log_return
2023-08-14,doge,Dogecoin,9,10503954202.787533,325530830.8297274,0.0307389186068231,-0.0253337919045097
2023-08-15,doge,Dogecoin,9,10515116058.04597,433958600.0715877,0.0293857741112668,-0.0001792446955741
2023-08-16,doge,Dogecoin,9,9960603735.57354,485736337.2786123,0.0304558651540382,-0.0542260049291001
2023-08-17,doge,Dogecoin,9,9467162719.066755,540891262.9373858,0.0318486091457994,-0.0507698442182125
2023-08-18,doge,Dogecoin,9,8590704888.911274,875413003.5414778,0.0362639410099643,-0.0975324015331824
2023-08-19,doge,Dogecoin,9,8883843143.310179,586152864.134783,0.0366209662395126,0.0343174829691452
2023-08-20,doge,Dogecoin,9,8963899738.69276,281369502.51805395,0.0366473793490729,0.008586214870081
2023-08-21,doge,Dogecoin,9,8964638030.76225,231080171.148564,0.0357935083893928,0.0001542716822249
2023-08-22,doge,Dogecoin,9,8795631418.452477,327091604.9211716,0.0352537358148719,-0.0196857801251684
2023-08-23,doge,Dogecoin,9,8798906766.554836,313724398.8832438,0.0349610146291214,0.0012414720266895
2023-08-24,doge,Dogecoin,9,8971672145.462595,337774649.6319,0.034483427962303,0.0196946181252868
2023-08-25,doge,Dogecoin,9,8865848411.999166,230754384.3397621,0.0290425450169509,-0.0132349467593555
2023-08-26,doge,Dogecoin,9,8871376178.439346,226403769.21250203,0.0281581585230615,0.0016510133342761
2023-08-27,doge,Dogecoin,9,8839251541.42644,138714995.1797599,0.0281624650259433,-0.0039006984031932
2023-08-28,doge,Dogecoin,9,8885962355.633984,156996663.5198971,0.0282322948705034,0.0044592707337662
2023-08-29,doge,Dogecoin,9,8933445891.458767,195755822.62814903,0.0271049415607571,0.005142275946429
2023-08-30,doge,Dogecoin,9,9322168176.979774,521000249.7660264,0.0284480432722721,0.0443180027787333
2023-08-31,doge,Dogecoin,9,9273299689.0687,314208485.8757507,0.0284427523271484,-0.0072394522889931
2023-09-01,doge,Dogecoin,9,8984778019.220459,438006033.8271098,0.0288242221924715,-0.0320333903860095
2023-09-02,doge,Dogecoin,9,8991680575.954496,289892880.4179252,0.0277335440795024,0.0016560510688639
2023-09-03,doge,Dogecoin,9,8934400490.253767,241641752.5361236,0.0277328238418223,-0.0068048579379182
2023-09-04,doge,Dogecoin,9,8902088029.065447,174931594.27224562,0.0277284520746885,-0.00459300173604
2023-09-05,doge,Dogecoin,9,8894546514.97899,213177420.76814908,0.0270240390792684,0.0011830243222572
2023-09-06,doge,Dogecoin,9,9011204259.46116,256314460.9210404,0.027090443145432,0.0118780410158296
2023-09-07,doge,Dogecoin,9,8955918346.559568,265090747.8107496,0.0270710349115924,-0.0060637149793505
2023-09-08,doge,Dogecoin,9,8949120423.209711,201611550.77876,0.02660847088571,-0.0007326429731082
2023-09-09,doge,Dogecoin,9,8968447338.884659,189756322.14174348,0.0265717670426756,0.0018354325532987
2023-09-10,doge,Dogecoin,9,8936463730.44537,124402128.43056712,0.0264977138422051,-0.0045885253669291
2023-09-11,doge,Dogecoin,9,8650692381.05655,295921726.6877336,0.0269273237373779,-0.0329524942919214
2023-09-12,doge,Dogecoin,9,8509158582.833182,314438708.6701481,0.0267000331027873,-0.0154043419508176
2023-09-13,doge,Dogecoin,9,8596381133.581781,275081355.176423,0.0266836912107459,0.0098432979993563
2023-09-14,doge,Dogecoin,9,8635444985.840822,228750483.39243323,0.0267386097380368,0.0045877256214188
2023-09-15,doge,Dogecoin,9,8746277227.951912,225492266.87675908,0.0253916197104632,0.0127957445306829
2023-09-16,doge,Dogecoin,9,8812490675.036211,176356727.54330358,0.0239057055952589,0.0073324924527851
2023-09-17,doge,Dogecoin,9,8758409459.227783,166331396.14554304,0.015835947935715,-0.006244362964598
2023-09-18,doge,Dogecoin,9,8668755680.074972,195114313.3696939,0.0145908310210078,-0.0096461323136782
2023-09-19,doge,Dogecoin,9,8750222519.28374,270941822.5916987,0.0145726897477992,0.0077403734263232
